block,trial,condition,onset_time,duration,cumulative_onset
0,initial_rest,REST,1.4166726032271981e-06,9.0,9.000001416672603
1,1,RIGHT ELBOW,9.051520916676964,9.033540958334925,18.08506187501189
1,2,LEFT FOOT,18.086837625000044,9.034886958354036,27.12172458335408
1,3,RIGHT FOOT,27.123001875006594,9.035868166669388,36.15887004167598
1,4,TONGUE,36.16140875000565,9.040223708347185,45.20163245835283
1,5,RIGHT HAND,45.203822750001564,9.036363000006531,54.240185750008095
1,6,LEFT HAND,54.24153150001075,9.036978833333706,63.27851033334446
1,7,LEFT ELBOW,63.27973766667128,9.03540995833464,72.31514762500592
1,rest,REST,72.31530016667966,9.0,81.31530016667966
2,1,LEFT FOOT,81.35631470834778,9.035223166662036,90.39153787500982
2,2,LEFT ELBOW,90.39338304167904,9.03390587499598,99.42728891667502
2,3,RIGHT HAND,99.4300835000031,9.034651958354516,108.46473545835761
2,4,LEFT HAND,108.4660398333508,9.035065624993877,117.50110545834468
2,5,TONGUE,117.50283308334474,9.038527458338649,126.54136054168339
2,6,RIGHT FOOT,126.54268662500544,9.035911250000936,135.57859787500638
2,7,RIGHT ELBOW,135.58006316667888,9.036988708321587,144.61705187500047
2,rest,REST,144.61721500000567,9.0,153.61721500000567
3,1,RIGHT FOOT,153.65890362500795,9.03584466666507,162.69474829167302
3,2,RIGHT HAND,162.69663212500745,9.033705875001033,171.7303380000085
3,3,LEFT FOOT,171.73184308335476,9.033223624996026,180.7650667083508
3,4,TONGUE,180.76703679167258,9.037599333329126,189.8046361250017
3,5,RIGHT ELBOW,189.8064935416769,9.039481458326918,198.84597500000382
3,6,LEFT ELBOW,198.8472890000121,9.03982416666986,207.88711316668196
3,7,LEFT HAND,207.88826429167239,9.033262291675783,216.92152658334817
3,rest,REST,216.92164566667634,9.0,225.92164566667634
4,1,RIGHT FOOT,225.96087658335455,9.036421916651307,234.99729850000585
4,2,RIGHT ELBOW,234.99927533334994,9.036652333321399,244.03592766667134
4,3,LEFT FOOT,244.03722054167883,9.034550249998574,253.0717707916774
4,4,RIGHT HAND,253.07405970834952,9.03698712500045,262.11104683335
4,5,LEFT HAND,262.11238595834584,9.038493708329042,271.1508796666749
4,6,LEFT ELBOW,271.1522247083485,9.036877125006868,280.1891018333554
4,7,TONGUE,280.1910135000071,9.037198624995654,289.22821212500276
4,final_rest,REST,289.22832595834916,9.0,298.22832595834916
